No,Time,Signal,Current
0,0.04,8157,23.55
1,0.08,8154,23.70
2,0.12,8166,23.77
3,0.16,8156,23.88
4,0.20,8193,24.02
5,0.24,8172,24.06
6,0.28,8195,24.17
7,0.32,8172,24.23
8,0.36,8189,24.33
9,0.40,8155,24.35
10,0.44,8192,24.49
11,0.48,8160,24.49
12,0.52,8183,24.61
13,0.56,8167,24.64
14,0.60,8164,24.70
15,0.64,8169,24.80
16,0.68,8198,24.81
17,0.72,8169,24.84
18,0.76,8191,24.95
19,0.80,8201,24.96
20,0.84,8170,25.03
21,0.88,8201,25.11
22,0.92,8172,25.12
23,0.96,8192,25.16
24,1.00,8181,25.26
25,1.04,8200,25.26
26,1.08,8166,25.32
27,1.12,8199,25.40
28,1.16,8152,25.42
29,1.20,8176,25.44
30,1.24,8154,25.52
31,1.28,8192,25.58
32,1.32,8177,25.58
33,1.36,8152,25.59
34,1.40,8181,25.65
35,1.44,8170,25.73
36,1.48,8152,25.73
37,1.52,8162,25.77
38,1.56,8201,25.79
39,1.60,8174,25.88
40,1.64,8170,25.89
41,1.68,8197,25.90
42,1.72,8163,25.93
43,1.76,8195,26.01
44,1.80,8200,26.04
45,1.84,8193,26.04
46,1.88,8162,26.04
47,1.92,8177,26.06
48,1.96,8194,26.11
49,2.00,8188,26.18
50,2.04,8185,26.20
51,2.08,8156,26.20
52,2.12,8166,26.22
53,2.16,8175,26.27
54,2.20,8197,26.33
55,2.24,8181,26.36
56,2.28,8163,26.36
57,2.32,8175,26.37
58,2.36,8186,26.42
59,2.40,8176,26.49
60,2.44,8171,26.51
61,2.48,8188,26.51
62,2.52,8167,26.51
63,2.56,8195,26.54
64,2.60,8177,26.58
65,2.64,8176,26.65
66,2.68,8188,26.67
67,2.72,8200,26.67
68,2.76,8163,26.68
69,2.80,8172,26.71
70,2.84,8184,26.77
71,2.88,8153,26.80
72,2.92,8189,26.82
73,2.96,8162,26.82
74,3.00,8157,26.82
75,3.04,8173,26.84
76,3.08,8182,26.88
77,3.12,8183,26.92
78,3.16,8185,26.97
79,3.20,8153,26.98
80,3.24,8166,26.98
81,3.28,8183,26.99
82,3.32,8167,27.00
83,3.36,8163,27.05
84,3.40,8156,27.07
85,3.44,8161,27.12
86,3.48,8152,27.14
87,3.52,8187,27.14
88,3.56,8180,27.14
89,3.60,8191,27.16
90,3.64,8156,27.17
91,3.68,8173,27.20
92,3.72,8200,27.26
93,3.76,8165,27.29
94,3.80,8157,27.29
95,3.84,8193,27.29
96,3.88,8193,27.29
97,3.92,8153,27.29
98,3.96,8187,27.29
99,4.00,8193,27.30
100,4.04,8180,27.30
101,4.08,8183,27.33
102,4.12,8169,27.36
103,4.16,8152,27.42
104,4.20,8182,27.44
105,4.24,8201,27.45
106,4.28,8189,27.45
107,4.32,8196,27.45
108,4.36,8170,27.46
109,4.40,8199,27.47
110,4.44,8155,27.51
111,4.48,8161,27.52
112,4.52,8156,27.55
113,4.56,8183,27.60
114,4.60,8175,27.60
115,4.64,8152,27.60
116,4.68,8179,27.60
117,4.72,8196,27.60
118,4.76,8168,27.63
119,4.80,8169,27.64
120,4.84,8200,27.67
121,4.88,8171,27.67
122,4.92,8153,27.71
123,4.96,8196,27.73
124,5.00,8155,27.76
125,5.04,8201,27.76
126,5.08,8199,27.76
127,5.12,8165,27.76
128,5.16,8160,27.77
129,5.20,8166,27.77
130,5.24,8177,27.80
131,5.28,8173,27.80
132,5.32,8160,27.83
133,5.36,8154,27.86
134,5.40,8200,27.88
135,5.44,8179,27.91
136,5.48,8199,27.92
137,5.52,8185,27.92
138,5.56,8166,27.92
139,5.60,8194,27.92
140,5.64,8197,27.92
141,5.68,8152,27.93
142,5.72,8192,27.96
143,5.76,8153,27.97
144,5.80,8182,27.98
145,5.84,8155,28.03
146,5.88,8183,28.02
147,5.92,8171,28.06
148,5.96,8200,28.07
149,6.00,8199,28.07
150,6.04,8172,28.07
151,6.08,8183,28.07
152,6.12,8166,28.07
153,6.16,8198,28.07
154,6.20,8153,28.08
155,6.24,8194,28.10
156,6.28,8165,28.10
157,6.32,8175,28.10
158,6.36,8173,28.14
159,6.40,8193,28.16
160,6.44,8179,28.21
161,6.48,8178,28.21
162,6.52,8181,28.23
163,6.56,8179,28.23
164,6.60,8179,28.23
165,6.64,8183,28.23
166,6.68,8201,28.23
167,6.72,8158,28.23
168,6.76,8184,28.24
169,6.80,8186,28.24
170,6.84,8182,28.29
171,6.88,8164,28.26
172,6.92,8191,28.29
173,6.96,8154,28.30
174,7.00,8192,28.31
175,7.04,8188,28.33
176,7.08,8154,28.37
177,7.12,8195,28.38
178,7.16,8161,28.38
179,7.20,8166,28.38
180,7.24,8160,28.38
181,7.28,8159,28.39
182,7.32,8179,28.38
183,7.36,8165,28.38
184,7.40,8161,28.39
185,7.44,8157,28.40
186,7.48,8174,28.40
187,7.52,8160,28.42
188,7.56,8162,28.41
189,7.60,8194,28.45
190,7.64,8155,28.44
191,7.68,8189,28.45
192,7.72,8171,28.49
193,7.76,8178,28.51
194,7.80,8179,28.53
195,7.84,8169,28.53
196,7.88,8169,28.54
197,7.92,8186,28.54
198,7.96,8186,28.54
199,8.00,8192,28.54
200,8.04,8122,28.54
201,8.08,8119,28.54
202,8.12,8112,28.54
203,8.16,8106,28.54
204,8.20,8098,28.54
205,8.24,8089,28.54
206,8.28,8083,28.54
207,8.32,8078,28.54
208,8.36,8071,28.55
209,8.40,8069,28.55
210,8.44,8072,28.55
211,8.48,8073,28.56
212,8.52,8074,28.57
213,8.56,8071,28.58
214,8.60,8074,28.59
215,8.64,8081,28.61
216,8.68,8090,28.63
217,8.72,8096,28.64
218,8.76,8097,28.67
219,8.80,8096,28.66
220,8.84,8097,28.68
221,8.88,8103,28.69
222,8.92,8107,28.70
223,8.96,8108,28.70
224,9.00,8110,28.70
225,9.04,8120,28.70
226,9.08,8128,28.70
227,9.12,8126,28.70
228,9.16,8112,28.70
229,9.20,8104,28.70
230,9.24,8105,28.70
231,9.28,8108,28.71
232,9.32,8103,28.70
233,9.36,8092,28.72
234,9.40,8086,28.71
235,9.44,8083,28.72
236,9.48,8086,28.73
237,9.52,8088,28.75
238,9.56,8087,28.74
239,9.60,8082,28.76
240,9.64,8071,28.76
241,9.68,8067,28.78
242,9.72,8066,28.80
243,9.76,8073,28.80
244,9.80,8074,28.82
245,9.84,8075,28.83
246,9.88,8080,28.83
247,9.92,8081,28.85
248,9.96,8079,28.85
249,10.00,8078,28.85
250,10.04,8077,28.85
251,10.08,8078,28.85
252,10.12,8076,28.85
253,10.16,8075,28.85
254,10.20,8073,28.85
255,10.24,8076,28.85
256,10.28,8074,28.85
257,10.32,8076,28.86
258,10.36,8080,28.87
259,10.40,8085,28.86
260,10.44,8088,28.88
261,10.48,8090,28.88
262,10.52,8095,28.91
263,10.56,8100,28.89
264,10.60,8107,28.91
265,10.64,8113,28.89
266,10.68,8112,28.92
267,10.72,8117,28.91
268,10.76,8130,28.92
269,10.80,8141,28.93
270,10.84,8143,28.94
271,10.88,8145,28.96
272,10.92,8158,28.97
273,10.96,8174,28.98
274,11.00,8180,29.00
275,11.04,8187,29.01
276,11.08,8204,29.01
277,11.12,8221,29.01
278,11.16,8238,29.01
279,11.20,8256,29.01
280,11.24,8271,29.01
281,11.28,8296,29.01
282,11.32,8344,29.01
283,11.36,8407,29.01
284,11.40,8477,29.01
285,11.44,8543,29.01
286,11.48,8598,29.01
287,11.52,8662,29.01
288,11.56,8726,29.02
289,11.60,8790,29.02
290,11.64,8855,29.02
291,11.68,8919,29.04
292,11.72,8976,29.02
293,11.76,9013,29.05
294,11.80,9032,29.04
295,11.84,9043,29.07
296,11.88,9046,29.05
297,11.92,9042,29.07
298,11.96,9032,29.06
299,12.00,9018,29.07
300,12.04,8990,29.09
301,12.08,8942,29.09
302,12.12,8877,29.11
303,12.16,8800,29.11
304,12.20,8706,29.12
305,12.24,8598,29.14
306,12.28,8485,29.16
307,12.32,8386,29.15
308,12.36,8310,29.16
309,12.40,8252,29.16
310,12.44,8210,29.16
311,12.48,8175,29.16
312,12.52,8143,29.16
313,12.56,8120,29.16
314,12.60,8113,29.16
315,12.64,8114,29.16
316,12.68,8114,29.16
317,12.72,8115,29.16
318,12.76,8117,29.16
319,12.80,8122,29.16
320,12.84,8129,29.17
321,12.88,8142,29.16
322,12.92,8147,29.17
323,12.96,8148,29.17
324,13.00,8145,29.18
325,13.04,8146,29.18
326,13.08,8151,29.19
327,13.12,8154,29.21
328,13.16,8155,29.21
329,13.20,8158,29.21
330,13.24,8162,29.22
331,13.28,8163,29.22
332,13.32,8164,29.23
333,13.36,8161,29.24
334,13.40,8161,29.23
335,13.44,8159,29.27
336,13.48,8158,29.24
337,13.52,8162,29.27
338,13.56,8160,29.26
339,13.60,8152,29.28
340,13.64,8153,29.29
341,13.68,8159,29.30
342,13.72,8159,29.31
343,13.76,8156,29.32
344,13.80,8155,29.32
345,13.84,8155,29.31
346,13.88,8156,29.32
347,13.92,8157,29.32
348,13.96,8156,29.32
349,14.00,8152,29.32
350,14.04,8143,29.32
351,14.08,8140,29.32
352,14.12,8147,29.32
353,14.16,8150,29.32
354,14.20,8156,29.32
355,14.24,8163,29.32
356,14.28,8167,29.32
357,14.32,8174,29.32
358,14.36,8187,29.32
359,14.40,8202,29.32
360,14.44,8221,29.32
361,14.48,8239,29.32
362,14.52,8255,29.34
363,14.56,8273,29.33
364,14.60,8295,29.34
365,14.64,8314,29.34
366,14.68,8332,29.35
367,14.72,8351,29.35
368,14.76,8372,29.36
369,14.80,8393,29.37
370,14.84,8417,29.38
371,14.88,8442,29.37
372,14.92,8462,29.39
373,14.96,8475,29.39
374,15.00,8492,29.39
375,15.04,8500,29.41
376,15.08,8496,29.41
377,15.12,8487,29.43
378,15.16,8482,29.44
379,15.20,8479,29.45
380,15.24,8471,29.46
381,15.28,8467,29.47
382,15.32,8459,29.47
383,15.36,8443,29.47
384,15.40,8420,29.47
385,15.44,8399,29.48
386,15.48,8383,29.48
387,15.52,8371,29.48
388,15.56,8356,29.48
389,15.60,8339,29.48
390,15.64,8325,29.48
391,15.68,8307,29.48
392,15.72,8286,29.48
393,15.76,8271,29.48
394,15.80,8254,29.48
395,15.84,8233,29.48
396,15.88,8214,29.48
397,15.92,8197,29.48
398,15.96,8183,29.48
399,16.00,8171,29.48
400,16.04,8168,29.48
401,16.08,8171,29.50
402,16.12,8175,29.50
403,16.16,8171,29.51
404,16.20,8169,29.50
405,16.24,8174,29.52
406,16.28,8182,29.50
407,16.32,8186,29.52
408,16.36,8187,29.54
409,16.40,8186,29.52
410,16.44,8189,29.54
411,16.48,8196,29.52
412,16.52,8199,29.55
413,16.56,8196,29.54
414,16.60,8193,29.55
415,16.64,8195,29.56
416,16.68,8203,29.57
417,16.72,8216,29.58
418,16.76,8218,29.59
419,16.80,8215,29.60
420,16.84,8213,29.60
421,16.88,8211,29.61
422,16.92,8204,29.62
423,16.96,8199,29.63
424,17.00,8197,29.63
425,17.04,8196,29.63
426,17.08,8198,29.63
427,17.12,8199,29.63
428,17.16,8197,29.63
429,17.20,8203,29.63
430,17.24,8208,29.63
431,17.28,8211,29.63
432,17.32,8215,29.63
433,17.36,8215,29.63
434,17.40,8213,29.63
435,17.44,8216,29.63
436,17.48,8218,29.63
437,17.52,8216,29.63
438,17.56,8216,29.63
439,17.60,8219,29.63
440,17.64,8219,29.63
441,17.68,8216,29.63
442,17.72,8213,29.63
443,17.76,8208,29.63
444,17.80,8202,29.64
445,17.84,8198,29.63
446,17.88,8195,29.64
447,17.92,8195,29.63
448,17.96,8195,29.64
449,18.00,8200,29.63
450,18.04,8202,29.64
451,18.08,8205,29.64
452,18.12,8212,29.64
453,18.16,8220,29.64
454,18.20,8225,29.64
455,18.24,8225,29.65
456,18.28,8222,29.65
457,18.32,8223,29.65
458,18.36,8223,29.66
459,18.40,8221,29.65
460,18.44,8220,29.66
461,18.48,8218,29.65
462,18.52,8215,29.66
463,18.56,8208,29.65
464,18.60,8201,29.68
465,18.64,8195,29.66
466,18.68,8195,29.69
467,18.72,8192,29.66
468,18.76,8194,29.67
469,18.80,8195,29.67
470,18.84,8200,29.68
471,18.88,8202,29.67
472,18.92,8201,29.69
473,18.96,8204,29.68
474,19.00,8213,29.69
475,19.04,8224,29.69
476,19.08,8231,29.70
477,19.12,8241,29.70
478,19.16,8252,29.70
479,19.20,8261,29.69
480,19.24,8269,29.70
481,19.28,8269,29.71
482,19.32,8272,29.70
483,19.36,8269,29.70
484,19.40,8256,29.72
485,19.44,8247,29.70
486,19.48,8243,29.72
487,19.52,8241,29.70
488,19.56,8239,29.72
489,19.60,8226,29.71
490,19.64,8213,29.72
491,19.68,8203,29.71
492,19.72,8195,29.73
493,19.76,8187,29.72
494,19.80,8172,29.73
495,19.84,8159,29.73
496,19.88,8144,29.74
497,19.92,8134,29.73
498,19.96,8126,29.74
499,20.00,8122,29.72
500,20.04,8121,29.75
501,20.08,8120,29.74
502,20.12,8123,29.75
503,20.16,8125,29.75
504,20.20,8135,29.75
505,20.24,8147,29.74
506,20.28,8159,29.76
507,20.32,8169,29.76
508,20.36,8182,29.75
509,20.40,8191,29.76
510,20.44,8199,29.77
511,20.48,8207,29.77
512,20.52,8213,29.77
513,20.56,8225,29.77
514,20.60,8233,29.78
515,20.64,8237,29.76
516,20.68,8244,29.78
517,20.72,8247,29.76
518,20.76,8253,29.78
519,20.80,8268,29.77
520,20.84,8283,29.78
521,20.88,8292,29.77
522,20.92,8306,29.78
523,20.96,8327,29.78
524,21.00,8354,29.79
525,21.04,8376,29.77
526,21.08,8390,29.79
527,21.12,8400,29.79
528,21.16,8409,29.79
529,21.20,8415,29.78
530,21.24,8416,29.78
531,21.28,8407,29.78
532,21.32,8382,29.79
533,21.36,8359,29.79
534,21.40,8340,29.78
535,21.44,8316,29.79
536,21.48,8290,29.79
537,21.52,8262,29.79
538,21.56,8244,29.78
539,21.60,8233,29.79
540,21.64,8220,29.79
541,21.68,8203,29.79
542,21.72,8194,29.79
543,21.76,8192,29.79
544,21.80,8192,29.79
545,21.84,8189,29.79
546,21.88,8187,29.79
547,21.92,8184,29.79
548,21.96,8183,29.79
549,22.00,8179,29.79
550,22.04,8173,29.79
551,22.08,8171,29.79
552,22.12,8173,29.79
553,22.16,8166,29.79
554,22.20,8158,29.79
555,22.24,8155,29.79
556,22.28,8153,29.79
557,22.32,8154,29.79
558,22.36,8160,29.79
559,22.40,8164,29.79
560,22.44,8163,29.79
561,22.48,8161,29.79
562,22.52,8163,29.79
563,22.56,8171,29.79
564,22.60,8180,29.79
565,22.64,8185,29.79
566,22.68,8188,29.79
567,22.72,8193,29.79
568,22.76,8199,29.79
569,22.80,8203,29.79
570,22.84,8205,29.79
571,22.88,8201,29.79
572,22.92,8194,29.79
573,22.96,8188,29.79
574,23.00,8184,29.79
575,23.04,8182,29.79
576,23.08,8180,29.79
577,23.12,8175,29.79
578,23.16,8164,29.79
579,23.20,8153,29.79
580,23.24,8141,29.79
581,23.28,8135,29.79
582,23.32,8139,29.79
583,23.36,8147,29.79
584,23.40,8167,29.79
585,23.44,8203,29.79
586,23.48,8253,29.79
587,23.52,8306,29.79
588,23.56,8372,29.79
589,23.60,8443,29.79
590,23.64,8511,29.79
591,23.68,8574,29.79
